condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
0.6Alpha_AllSigNeurons,0.03263268465047829,0.02802421703792817,25,0.0056048434075856345,0.010985493078867843,0.02164719157161045,0.04361817772934613,0.6,AllSig,0.0004499001865229,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
Original,0.4757362790904532,0.013784785531588357,25,0.0027569571063176717,0.005403635928382637,0.4703326431620706,0.4811399150188358,0.0,Original,,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
-0.6Alpha_2000Neurons,0.47761148935317194,0.018500787863720964,25,0.0037001575727441927,0.007252308842578618,0.47035918051059333,0.48486379819575054,-0.6,2000,0.6855108122800775,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
-0.6Alpha_10000Neurons,0.48093594902775316,0.01668251118802152,25,0.0033365022376043037,0.006539544385704435,0.47439640464204874,0.4874754934134576,-0.6,10000,0.2330269736529069,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
-0.6Alpha_AllSigNeurons,0.4679860172293595,0.014636425925856343,25,0.0029272851851712685,0.005737478962935686,0.4622485382664238,0.4737234961922952,-0.6,AllSig,0.0698464668189894,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.2Alpha_2000Neurons,0.46946350251626234,0.013576344156859018,25,0.0027152688313718037,0.0053219269094887355,0.4641415756067736,0.4747854294257511,0.2,2000,0.1624894278054131,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.2Alpha_10000Neurons,0.4713750852888726,0.013807299642573764,25,0.002761459928514753,0.0054124614598889155,0.4659626238289837,0.47678754674876156,0.2,10000,0.3124354257675817,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.2Alpha_AllSigNeurons,0.46777906951161563,0.014935804851696302,25,0.0029871609703392603,0.00585483550186495,0.4619242340097507,0.47363390501348057,0.2,AllSig,0.0698464668189894,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.6Alpha_2000Neurons,0.4806457188421747,0.012694407845828775,25,0.002538881569165755,0.00497620787556488,0.47566951096660987,0.48562192671773957,0.6,2000,0.4055320960442471,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.6Alpha_10000Neurons,0.45719131966766524,0.0174058507899515,25,0.0034811701579903,0.0068230935096609885,0.45036822615800426,0.4640144131773262,0.6,10000,0.0001152790458105,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
0.6Alpha_AllSigNeurons,0.4406758129631897,0.02566151188723288,25,0.005132302377446576,0.010059312659795289,0.4306165003033944,0.450735125622985,0.6,AllSig,2.049107104768363e-09,0,immediate_recall,"Immediate
recall",lex_density,"Lexical idea
density"
Original,0.4760139665012045,0.01395212459491408,25,0.0027904249189828157,0.005469232841206319,0.47054473365999816,0.4814831993424108,0.0,Original,,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
-0.6Alpha_2000Neurons,0.477881308660091,0.01671754516519286,25,0.003343509033038572,0.006553277704755601,0.4713280309553354,0.4844345863648466,-0.6,2000,0.5773552175150531,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
-0.6Alpha_10000Neurons,0.48101239854208006,0.01704287789715764,25,0.0034085755794315284,0.006680808135685796,0.4743315904063943,0.48769320667776583,-0.6,10000,0.1754025273990141,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
-0.6Alpha_AllSigNeurons,0.46764161381425495,0.01435737819215443,25,0.002871475638430886,0.005628092251324536,0.4620135215629304,0.4732697060655795,-0.6,AllSig,0.1037903998110883,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
0.2Alpha_2000Neurons,0.4733003524235542,0.017023838305543684,25,0.0034047676611087367,0.006673344615773124,0.4666270078077811,0.47997369703932735,0.2,2000,0.5773552175150531,1,delayed_recall,"Delayed
recall",lex_density,"Lexical idea
density"
