task,metric,metric_label,contrast,comparison,scope,condition_a,condition_b,mean_a,mean_b,raw_mean_difference_a_minus_b,gee_estimate,se,z,p,family,pearson_ratio,n_obs,converged,q,significant_fdr
Delayed recall,delay_event_n,Events recalled,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,10.72,11.46,-0.7400000000000002,-0.7399999999999997,0.2639999999999982,-2.803030303030321,0.005062491244998035,Gaussian identity,0.6877916666666667,125,True,0.02024996497999214,True
Delayed recall,delay_event_n,Events recalled,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,11.4,11.44,-0.03999999999999915,-0.039999999999999536,0.16228370220080643,-0.24648192922357898,0.8053091914035355,Gaussian identity,0.6877916666666667,125,True,0.8053091914035355,False
Delayed recall,delay_event_n,Events recalled,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,10.72,9.94,0.7800000000000011,0.7799999999999997,0.30734996339677695,2.5378236306898456,0.011154418213538665,Gaussian identity,0.6877916666666667,125,True,0.02230883642707733,True
Scene construction,scene_ep_span_rate,Episodic details,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,0.9172453102453102,0.9293718219345155,-0.01212651168920531,-0.012126511689205218,0.02335900265053513,-0.5191365346639666,0.6036655325583414,Gaussian identity,0.041631959074511594,125,True,0.6036655325583414,False
Scene construction,scene_ep_span_rate,Episodic details,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,0.8544416694416693,0.9293718219345155,-0.07493015249284618,-0.07493015249284603,0.020477332125342747,-3.6591755231684924,0.00025302799703130367,Gaussian identity,0.041631959074511594,125,True,0.0010121119881252147,True
Scene construction,scene_ep_span_rate,Episodic details,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,0.9172453102453102,0.8690944475201441,0.04815086272516611,0.04815086272516611,0.01999067627143271,2.408666023669003,0.016010942122731124,Gaussian identity,0.041631959074511594,125,True,0.021347922830308164,True
Scene construction,scene_ep_span_rate,Episodic details,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,0.8544416694416693,0.5990425655131874,0.255399103928482,0.25539910392848203,0.08985368029387361,2.8423889048637623,0.004477683367544426,Gaussian identity,0.041631959074511594,125,True,0.008955366735088852,True
Scene construction,scene_nonep_span_rate,Non-episodic details,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,0.08275468975468975,0.06839907589830187,0.01435561385638788,0.014355613856387882,0.023100216603971695,0.6214493180951245,0.5343040313057159,Gaussian identity,0.006508082243145051,125,True,0.6037880294555475,False
Scene construction,scene_nonep_span_rate,Non-episodic details,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,0.14555833055833053,0.06839907589830187,0.07715925466002867,0.07715925466002868,0.019902222859482375,3.8769164230952375,0.0001057886767738486,Gaussian identity,0.006508082243145051,125,True,0.0004231547070953944,True
Scene construction,scene_nonep_span_rate,Non-episodic details,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,0.08275468975468975,0.09316534016379215,-0.010410650409102398,-0.010410650409102393,0.020060569171909157,-0.5189608689508391,0.6037880294555475,Gaussian identity,0.006508082243145051,125,True,0.6037880294555475,False
Scene construction,scene_nonep_span_rate,Non-episodic details,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,0.14555833055833053,0.07656060908998717,0.06899772146834336,0.06899772146834338,0.02230128442033385,3.093890027492438,0.0019755069860123023,Gaussian identity,0.006508082243145051,125,True,0.003951013972024605,True
